semmeddb ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
x2,0.8017,29,,x2,0.5818,29,,x2,0.8093,29,,x2,0.6154,29,,
dice,0.7957,29,,dice,0.4715,29,,dice,0.7955,29,,dice,0.4912,29,,
odds,0.7367,29,,odds,0.1942,29,,odds,0.7522,29,,odds,0.2257,29,,
leftFisher,0.7208,29,,leftFisher,29,29,,leftFisher,0.7338,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6909,392,,ll,0.2675,401,,ll,0.6890,392,,ll,0.2565,401,,
x2,0.7004,392,,x2,0.4427,401,,x2,0.7036,392,,x2,0.4219,401,,
dice,0.6966,392,,dice,0.3836,401,,dice,0.6991,392,,dice,0.3503,401,,
odds,0.7027,392,,odds,0.3321,401,,odds,0.7115,392,,odds,0.3454,401,,
leftFisher,0.6779,392,,leftFisher,0.0801,401,,leftFisher,0.6832,392,,leftFisher,0.0801,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.6067,418,,ll,0.2418,430,,ll,0.5938,418,,ll,0.2388,430,,
x2,0.6015,418,,x2,0.3161,430,,x2,0.5927,418,,x2,0.3030,430,,
dice,0.5940,418,,dice,0.2716,430,,dice,0.5818,418,,dice,0.2567,430,,
odds,0.5894,418,,odds,0.1912,430,,odds,0.5853,418,,odds,0.1912,430,,
leftFisher,0.6247,418,,leftFisher,0.0649,430,,leftFisher,0.6142,418,,leftFisher,0.0649,430,,



2000_2015_window8_ordered ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.8040,29,,ll,0.5240,29,,ll,0.8134,29,,ll,0.5132,29,,
x2,0.8058,29,,x2,0.5514,29,,x2,0.8222,29,,x2,0.5778,29,,
dice,0.7087,29,,dice,0.3974,29,,dice,0.7185,29,,dice,0.4362,29,,
odds,0.8141,29,,odds,0.2494,29,,odds,0.8337,29,,odds,0.2705,29,,
leftFisher,0.8284,29,,leftFisher,29,29,,leftFisher,0.8284,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.8222,29,,ll,0.5378,29,,ll,0.8273,29,,ll,0.5210,29,,
x2,0.8344,29,,x2,0.5676,29,,x2,0.8435,29,,x2,0.5813,29,,
dice,0.7221,29,,dice,0.4515,29,,dice,0.7338,29,,dice,0.4792,29,,
odds,0.8154,29,,odds,0.2315,29,,odds,0.8268,29,,odds,0.2550,29,,
leftFisher,0.7705,29,,leftFisher,29,29,,leftFisher,0.7705,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6775,390,,ll,0.2478,401,,ll,0.6768,390,,ll,0.2348,401,,
x2,0.6959,390,,x2,0.4064,401,,x2,0.7003,390,,x2,0.3795,401,,
dice,0.5201,390,,dice,0.3404,401,,dice,0.5227,390,,dice,0.3089,401,,
odds,0.6993,390,,odds,0.2464,401,,odds,0.7103,390,,odds,0.2557,401,,
leftFisher,0.6763,390,,leftFisher,0.0806,401,,leftFisher,0.6781,390,,leftFisher,0.0806,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.6172,414,,ll,0.2418,430,,ll,0.6076,414,,ll,0.2353,430,,
x2,0.6140,414,,x2,0.3032,430,,x2,0.6100,414,,x2,0.2919,430,,
dice,0.5985,414,,dice,0.2489,430,,dice,0.5937,414,,dice,0.2426,430,,
odds,0.5897,414,,odds,0.1184,430,,odds,0.5970,414,,odds,0.1179,430,,
leftFisher,0.6288,414,,leftFisher,0.0740,430,,leftFisher,0.6214,414,,leftFisher,0.0740,430,,


2000_2015_window8_ordered No Order
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.8013,29,,ll,0.5682,29,,ll,0.8003,29,,ll,0.5462,29,,
x2,0.8097,29,,x2,0.5643,29,,x2,0.8157,29,,x2,0.6013,29,,
dice,0.6961,29,,dice,0.4251,29,,dice,0.7074,29,,dice,0.4493,29,,
odds,0.8094,29,,odds,0.3643,29,,odds,0.8306,29,,odds,0.3382,29,,
leftFisher,0.8154,29,,leftFisher,29,29,,leftFisher,0.8154,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.8131,29,,ll,0.5753,29,,ll,0.8126,29,,ll,0.5503,29,,
x2,0.8273,29,,x2,0.6039,29,,x2,0.8311,29,,x2,0.6341,29,,
dice,0.7024,29,,dice,0.4870,29,,dice,0.7123,29,,dice,0.5020,29,,
odds,0.8121,29,,odds,0.3496,29,,odds,0.8263,29,,odds,0.3266,29,,
leftFisher,0.7694,29,,leftFisher,29,29,,leftFisher,0.7694,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6698,390,,ll,0.2753,401,,ll,0.6680,390,,ll,0.2606,401,,
x2,0.6881,390,,x2,0.4243,401,,x2,0.6948,390,,x2,0.4012,401,,
dice,0.5367,390,,dice,0.3560,401,,dice,0.5393,390,,dice,0.3281,401,,
odds,0.6981,390,,odds,0.2777,401,,odds,0.7129,390,,odds,0.3025,401,,
leftFisher,0.6687,390,,leftFisher,0.0806,401,,leftFisher,0.6788,390,,leftFisher,0.0806,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.6263,414,,ll,0.2624,430,,ll,0.6035,414,,ll,0.2550,430,,
x2,0.6228,414,,x2,0.3196,430,,x2,0.6072,414,,x2,0.3075,430,,
dice,0.5997,414,,dice,0.2643,430,,dice,0.5835,414,,dice,0.2560,430,,
odds,0.5984,414,,odds,0.1513,430,,odds,0.5912,414,,odds,0.1594,430,,
leftFisher,0.6171,414,,leftFisher,0.0740,430,,leftFisher,0.6143,414,,leftFisher,0.0740,430,,



1975_2015_window8 ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.7985,29,,ll,0.5814,29,,ll,0.8099,29,,ll,0.5628,29,,
x2,0.8048,29,,x2,0.6000,29,,x2,0.8219,29,,x2,0.6331,29,,
dice,0.7120,29,,dice,0.4289,29,,dice,0.7861,29,,dice,0.4545,29,,
odds,0.7894,29,,odds,0.2922,29,,odds,0.8074,29,,odds,0.2873,29,,
leftFisher,0.8092,29,,leftFisher,29,29,,leftFisher,0.8092,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.8251,29,,ll,0.5863,29,,ll,0.8332,29,,ll,0.5596,29,,
x2,0.8405,29,,x2,0.6221,29,,x2,0.8483,29,,x2,0.6486,29,,
dice,0.7859,29,,dice,0.4995,29,,dice,0.7922,29,,dice,0.5123,29,,
odds,0.8116,29,,odds,0.2608,29,,odds,0.8191,29,,odds,0.2708,29,,
leftFisher,0.7851,29,,leftFisher,29,29,,leftFisher,0.7851,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6737,392,,ll,0.2834,401,,ll,0.6758,392,,ll,0.2680,401,,
